From,To,Evidence,Nesting
Cl.14,Cl.34,weak,strong_nested
Cl.10,Cl.24,very weak,semi_nested
Cl.10,Cl.27,very weak,semi_nested
Cl.27,Cl.24,very weak,semi_nested
Cl.10,Cl.6,weak,strong_nested
Cl.26,Cl.16,weak,strong_nested
Cl.8,Cl.17,weak,strong_nested
Cl.4,Cl.37,weak,strong_nested
Cl.1,Cl.18,weak,strong_nested
Cl.1,Cl.33,weak,strong_nested
Cl.18,Cl.33,weak,strong_nested
Cl.1,Cl.21,weak,strong_nested
Cl.31,Cl.9,weak,strong_nested
Cl.3,Cl.15,weak,strong_nested
Cl.2,Cl.32,weak,strong_nested
Cl.36,Cl.7,weak,strong_nested
PD,Cl.14,strong,ind1
PD,Cl.10,strong,ind1
PD,Cl.27,strong,ind1
PD,Cl.26,strong,ind1
PD,Cl.8,strong,ind1
PD,Cl.4,strong,ind1
PD,Cl.1,strong,ind1
PD,Cl.18,strong,ind1
PD,Cl.31,strong,ind1
PD,Cl.3,strong,ind1
PD,Cl.2,strong,ind1
PD,Cl.36,strong,ind1
PD,Cl.1,strong,ind2
PD,Cl.2,strong,ind2
PD,Cl.3,strong,ind2
PD,Cl.4,strong,ind2
PD,Cl.8,strong,ind2
PD,Cl.10,strong,ind2
PD,Cl.13,strong,ind2
PD,Cl.14,strong,ind2
PD,Cl.15,strong,ind2
PD,Cl.16,strong,ind2
PD,Cl.17,strong,ind2
PD,Cl.18,strong,ind2
PD,Cl.21,strong,ind2
PD,Cl.24,strong,ind2
PD,Cl.26,strong,ind2
PD,Cl.27,strong,ind2
PD,Cl.31,strong,ind2
PD,Cl.32,strong,ind2
PD,Cl.33,strong,ind2
PD,Cl.34,strong,ind2
PD,Cl.36,strong,ind2
PD,Cl.37,strong,ind2
PD,Cl.5,strong,ind3
PD,Cl.6,strong,ind3
PD,Cl.7,strong,ind3
PD,Cl.9,strong,ind3
